cell type,gene
Astro,AQP4
Astro,GFAP
ExN_L2-3,SATB2
ExN_L2-3,SLC17A7
ExN_L2-3,CUX2
ExN_L4,SATB2
ExN_L4,SLC17A7
ExN_L4,TSHZ2
ExN_L5,SATB2
ExN_L5,SLC17A7
ExN_L5,ARSJ
ExN_L6,SATB2
ExN_L6,SLC17A7
ExN_L6,THEMIS
ExN_L5_ET,SATB2
ExN_L5_ET,SLC17A7
ExN_L5_ET,ABCB11
InN_SST,GAD1
InN_SST,GAD2
InN_SST,SST
InN_PVALB,GAD1
InN_PVALB,GAD2
InN_PVALB,PVALB
InN_VIP,GAD1
InN_VIP,GAD2
InN_VIP,VIP
InN_LAMP5,GAD1
InN_LAMP5,GAD2
InN_LAMP5,LAMP5
MG,ADAM28
MG,APBB1IP
OPC,PDGFRA
OPC,VCAN
Oligo,MOG
Oligo,ST18
VC,CLDN5
VC,EPAS1
